State,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
Massachusetts,"106,500","3,118","97,260","3,411","96,940","4,590","102,700","7,402","103,700","3,343","103,600","3,341","93,300","2,930","89,610","4,073","89,990","3,625","85,250","3,505","79,280","3,342","79,610","6,752","80,160","4,400","82,030","4,862","83,160","4,237","82,520","2,970","81,510","2,401","82,480","2,289","82,870","3,162","80,440","3,023","83,800","2,624","80,080","2,566","80,400","1,504","80,310","1,857","85,220","2,476","77,970","2,263","75,920","3,490","74,560","3,453","75,010","2,469","72,000","3,522","72,180","2,760","77,580","2,030","72,550","1,858","72,930","1,480","73,460","1,625","77,260","1,765","80,660","1,574","77,500","1,958","78,010","1,732","75,890","1,839","71,720","2,060","70,880","1,822"
Michigan,"76,960","2,965","71,730","2,905","72,210","4,277","75,330","3,733","75,790","1,986","72,510","2,286","69,030","2,797","70,610","2,860","71,090","2,376","68,090","2,519","65,280","1,505","72,020","2,021","62,130","2,838","64,450","1,952","64,200","2,422","62,670","2,352","63,140","1,377","68,080","1,578","69,980","1,131","70,730","1,404","68,720","1,369","65,050","1,321","71,040","1,499","68,810","1,796","73,470","1,416","75,900","1,826","79,510","1,770","73,640","1,615","69,150","1,978","71,510","2,084","68,160","1,860","67,590","1,312","63,930","1,335","64,720","1,526","66,060","1,417","63,810","1,413","68,790","1,766","68,770","1,416","67,030","1,752","66,550","1,621","61,640","2,131","60,380","1,669"
Minnesota,"90,340","3,160","93,980","4,478","90,080","5,655","92,130","3,969","96,250","3,532","86,150","4,386","85,630","5,689","88,010","3,660","87,440","5,037","86,340","3,848","84,410","4,026","81,900","5,083","77,550","2,347","79,630","1,725","75,950","3,126","70,860","2,175","77,000","1,698","75,100","1,951","82,300","2,676","81,720","1,771","81,110","1,861","86,360","1,647","83,350","1,938","87,980","1,927","85,920","1,849","90,470","2,840","81,150","2,634","84,390","3,724","75,970","2,695","74,730","2,233","70,980","3,458","64,450","2,605","65,930","2,372","62,140","2,602","60,630","2,357","67,070","2,191","67,470","2,857","67,870","2,429","67,950","2,693","66,150","2,877","60,660","2,599","64,240","2,403"
Mississippi,"55,060","2,393","50,540","2,523","52,230","2,021","52,800","3,068","52,940","3,543","51,320","2,764","52,960","2,197","53,160","2,697","51,180","1,527","50,300","1,345","44,590","1,624","41,170","3,476","52,010","2,730","47,220","1,992","53,970","3,108","51,680","3,833","48,160","1,790","49,830","1,135","52,840","1,348","50,500","2,301","49,180","1,933","53,500","1,743","51,640","1,756","49,740","1,234","49,190","1,934","57,200","2,258","56,030","2,429","51,280","2,039","50,870","2,474","48,640","2,399","49,660","1,924","48,650","1,440","43,440","2,406","41,260","2,154","40,060","2,166","43,010","1,710","44,520","2,117","42,390","2,072","44,790","2,180","41,310","1,598","41,730","1,574","40,570","1,924"
Missouri,"78,290","3,669","74,360","4,197","71,210","3,034","72,740","3,176","71,630","3,466","74,050","2,929","69,180","2,855","69,610","3,195","68,510","2,141","74,370","3,275","71,090","3,804","58,950","5,263","64,060","4,708","64,130","2,631","60,120","2,833","62,050","2,921","66,950","2,190","62,950","1,567","65,210","1,565","64,810","2,038","64,310","1,480","64,860","1,652","69,050","1,381","68,900","1,730","67,420","1,964","75,210","1,979","71,390","2,055","70,790","3,289","65,240","3,677","62,470","2,758","65,170","2,569","57,830","2,762","56,140","2,870","54,880","2,911","57,440","2,910","58,260","2,971","59,230","1,667","54,700","2,539","57,390","2,824","54,840","1,931","55,780","1,546","54,620","1,880"
Montana,"79,220","4,070","75,870","2,992","72,790","5,599","66,380","2,921","71,150","2,711","69,190","3,450","70,250","2,720","72,310","3,168","71,070","3,586","64,570","3,690","64,150","2,232","55,000","7,570","56,190","4,140","58,100","3,305","52,900","2,674","55,910","2,501","55,520","1,376","58,660","2,412","61,880","2,408","59,760","1,013","55,820","1,737","52,270","1,091","53,820","1,684","56,110","1,952","52,390","1,202","54,660","1,669","53,550","1,666","55,600","1,995","52,140","2,044","52,300","2,855","51,940","2,068","52,930","2,387","51,810","1,889","53,210","1,460","51,060","1,831","49,830","2,095","52,960","2,930","51,870","1,934","49,540","1,933","50,850","1,874","51,450","2,034","51,360","1,893"
Nebraska,"89,190","4,239","81,480","3,273","87,470","4,437","84,520","2,869","86,370","3,852","81,060","4,718","72,910","3,414","72,960","3,485","73,930","3,335","75,970","3,690","71,390","2,830","73,370","5,369","68,470","2,311","67,260","3,478","73,050","3,537","71,110","2,385","68,090","2,275","69,360","1,715","69,700","1,955","70,000","2,166","71,690","2,165","67,400","2,050","69,390","2,061","68,940","1,672","71,120","1,820","69,620","1,698","66,640","2,357","64,120","2,728","61,920","2,727","62,010","2,735","61,620","2,161","60,900","2,138","60,700","1,631","60,270","2,148","60,780","2,071","58,580","2,404","58,830","3,400","58,700","2,240","56,300","1,841","54,460","2,036","55,430","2,324","56,250","2,011"
Nevada,"81,310","3,631","75,200","3,695","72,050","3,919","71,550","2,839","83,820","4,096","74,210","2,538","71,030","3,612","69,200","3,719","69,020","2,661","65,340","2,854","62,610","2,305","66,010","4,046","57,760","3,603","61,000","3,264","61,790","3,506","69,340","2,603","70,610","1,506","74,850","3,634","76,630","1,834","76,010","1,820","72,120","2,513","72,660","2,127","71,300","2,452","72,420","1,870","74,050","1,843","76,310","1,686","71,530","3,043","70,010","2,157","69,350","2,813","70,260","2,944","67,520","2,459","68,710","2,938","70,100","2,110","64,000","1,597","67,750","3,217","68,260","2,513","65,580","2,119","65,290","2,231","65,030","2,729","65,580","2,239","59,180","2,555","67,770","2,676"
New Hampshire,"98,780","4,779","88,350","5,774","99,490","5,396","104,000","4,073","102,700","3,217","97,580","4,071","92,550","4,823","91,540","3,721","94,960","3,627","95,070","4,421","92,140","4,084","87,980","5,051","90,810","4,152","87,390","2,866","86,530","2,170","90,240","2,236","88,040","2,548","90,490","4,381","95,790","2,617","90,090","2,150","85,250","3,031","87,460","2,038","87,680","2,058","89,110","2,076","83,710","1,173","84,930","2,073","79,450","3,367","79,170","3,286","73,180","2,863","71,840","3,161","73,300","2,912","67,510","3,519","74,310","3,171","79,100","3,855","74,110","2,754","86,980","2,799","83,890","3,064","80,790","2,634","78,250","3,508","76,410","2,074","67,130","2,731","68,130","1,932"
New Jersey,"91,590","4,838","96,010","3,590","99,170","5,321","100,100","4,745","103,700","4,809","88,980","3,413","87,180","5,053","89,330","3,670","85,260","3,570","85,880","3,935","81,900","3,381","81,170","5,684","78,660","3,893","85,940","2,526","81,880","3,977","85,280","3,309","88,930","2,635","89,300","3,141","85,770","2,067","98,950","2,877","94,800","3,377","85,090","1,975","88,430","1,614","87,900","2,585","84,430","1,522","84,060","1,653","85,800","2,424","87,740","2,529","85,710","2,542","86,540","2,219","82,190","2,620","80,990","2,038","79,280","1,930","78,230","1,687","82,370","2,125","82,560","1,842","87,440","2,119","84,670","1,535","82,850","1,921","79,330","2,106","78,770","1,635","73,020","2,103"
